1.6756 1.2018 0.3968 Si
1.1756 1.7018 0.1468 Si
1.3244 1.2018 0.3968 Si
1.8244 1.7018 0.1468 Si
1.0843 1.2004 0.0 Si
1.5843 1.7004000000000001 0.25 Si
1.9157 1.2004 0.0 Si
1.4157 1.7004000000000001 0.25 Si
1.0843 1.7995999999999999 0.0 Si
1.5843 1.2995999999999999 0.25 Si
1.9157 1.7995999999999999 0.0 Si
1.4157 1.2995999999999999 0.25 Si
1.2743 1.0 0.14675 Si
1.7743 1.5 0.39675 Si
1.7257 1.0 0.14675 Si
1.2257 1.5 0.39675 Si
1.7257 1.0 0.35325 Si
1.2257 1.5 0.10325 Si
1.2743 1.0 0.35325 Si
1.7743 1.5 0.10325 Si
1.1553 1.0 0.0 Si
1.6553 1.5 0.25 Si
1.8447 1.0 0.0 Si
1.3447 1.5 0.25 Si
1.3201 1.0918 0.62505 O
1.8201 1.5918 0.87505 O
1.6799 1.0918 0.62505 O
1.1799 1.5918 0.87505 O
1.3201 1.9082 0.62505 O
1.8201 1.4082 0.87505 O
1.6799 1.9082 0.62505 O
1.1799 1.4082 0.87505 O
1.6799 1.9082 0.87495 O
1.1799 1.4082 0.62495 O
1.3201 1.9082 0.87495 O
1.8201 1.4082 0.62495 O
1.6799 1.0918 0.87495 O
1.1799 1.5918 0.62495 O
1.3201 1.0918 0.87495 O
1.8201 1.5918 0.62495 O
1.3848 1.2493 0.66285 O
1.8848 1.7492999999999999 0.91285 O
1.6152 1.2493 0.66285 O
1.1152 1.7492999999999999 0.91285 O
1.3848 1.7507000000000001 0.66285 O
1.8848 1.2507 0.91285 O
1.6152 1.7507000000000001 0.66285 O
1.1152 1.2507 0.91285 O
1.6152 1.7507000000000001 0.83715 O
1.1152 1.2507 0.58715 O
1.3848 1.7507000000000001 0.83715 O
1.8848 1.2507 0.58715 O
1.6152 1.2493 0.83715 O
1.1152 1.7492999999999999 0.58715 O
1.3848 1.2493 0.83715 O
1.8848 1.7492999999999999 0.58715 O
1.3429 1.2162 0.5 O
1.8429 1.7162 0.75 O
1.6571 1.2162 0.5 O
1.1571 1.7162 0.75 O
1.3429 1.7838 0.5 O
1.8429 1.2838 0.75 O
1.6571 1.7838 0.5 O
1.1571 1.2838 0.75 O
1.25 1.25 0.625 O
1.75 1.75 0.875 O
1.75 1.25 0.625 O
1.25 1.75 0.875 O
1.25 1.75 0.625 O
1.75 1.25 0.875 O
